Product_name,Type,Product_url,Product_reviews,Product_ratings,Product_price
"NX Series NX500M, Mesh Front Panel, Type-C 3.2 Gen2 Ready, 1 x 120mm Fan Included, Tempered Glass Side Panels, 360mm Radiator Support, Mini-Tower M-ATX Gaming Case",pc+case,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NjYxODMwMTU4MzIxMDMxOjE3MDY3NDgxODE6c3BfYXRmOjMwMDEwMDc2NTQ1MDIwMjo6MDo6&url=%2FIncluded-Tempered-Radiator-Support-Mini-Tower%2Fdp%2FB0BYJ68JZL%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3TXP1EHXO96V1%26keywords%3Dpc%2Bcase%26qid%3D1706748181%26sprefix%3Dgraphics%2Bcar%252Caps%252C288%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,592,4.5 out of 5 stars,$59.99
"NX Series NX500M, Mesh Front Panel, Type-C 3.2 Gen2 Ready, 1 x 120mm Fan Included, Tempered Glass Side Panels, 360mm Radiator Support, Mini-Tower M-ATX Gaming Case",pc+case,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NjYxODMwMTU4MzIxMDMxOjE3MDY3NDgxODE6c3BfYXRmOjMwMDEwMDc2NTQ1MDIwMjo6MDo6&url=%2FIncluded-Tempered-Radiator-Support-Mini-Tower%2Fdp%2FB0BYJ68JZL%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3TXP1EHXO96V1%26keywords%3Dpc%2Bcase%26qid%3D1706748181%26sprefix%3Dgraphics%2Bcar%252Caps%252C288%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,592,4.5 out of 5 stars,$59.99
H6 Flow | CC-H61FB-01 | Compact Dual-Chamber Mid-Tower Airflow Case | Panoramic Glass Panels | High-Performance Airflow Panels | Includes 3 x 120mm Fans | Cable Management | Black,pc+case,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NjYxODMwMTU4MzIxMDMxOjE3MDY3NDgxODE6c3BfYXRmOjMwMDA4NDI4NTAxODkwMjo6MDo6&url=%2FNZXT-CC-H61FB-01-Dual-Chamber-High-Performance-Management%2Fdp%2FB0C89FCDFP%2Fref%3Dsr_1_2_sspa%3Fcrid%3D3TXP1EHXO96V1%26keywords%3Dpc%2Bcase%26qid%3D1706748181%26sprefix%3Dgraphics%2Bcar%252Caps%252C288%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,33105,4.7 out of 5 stars,$109.99
"NX410 ATX Mid-Tower Case, Tempered Glass Side Panel, Full Side View, Pre-Installed 2 x 140mm in Front & 1 x 120 mm ARGB Fans in Rear (White) (9734088000)",pc+case,https://www.amazon.com/Antec-NX410-Mid-Tower-Tempered-Pre-Installed/dp/B08PTB45YQ/ref=sr_1_3?crid=3TXP1EHXO96V1&keywords=pc+case&qid=1706748181&sprefix=graphics+car%2Caps%2C288&sr=8-3&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,1111,4.5 out of 5 stars,$69.99
3000D AIRFLOW Mid-Tower PC Case – 3-Pin Fans – Four-Slot GPU Support – Fits up to 8x 120mm Fans – High-Airflow Design – Black,pc+case,https://www.amazon.com/Corsair-3000D-Airflow-Mid-Tower-Case/dp/B0C2JL6PNC/ref=sr_1_4?crid=3TXP1EHXO96V1&keywords=pc+case&qid=1706748181&sprefix=graphics+car%2Caps%2C288&sr=8-4&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,15183,4.8 out of 5 stars,$74.99
H6 Flow | CC-H61FW-01 | Compact Dual-Chamber Mid-Tower Airflow Case | Panoramic Glass Panels | High-Performance Airflow Panels | Includes 3 x 120mm Fans | Cable Management | White,pc+case,https://www.amazon.com/NZXT-CC-H61FW-01-Dual-Chamber-High-Performance-Management/dp/B0C89G9QDK/ref=sr_1_5?crid=3TXP1EHXO96V1&keywords=pc+case&qid=1706748181&sprefix=graphics+car%2Caps%2C288&sr=8-5&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,33105,4.7 out of 5 stars,$109.99
"Kids Tablet 7IN Toddler Tablet for Kids Learning, 32GB Android Tablet for Toddlers Educational, Children's Tablet with WiFi Parental Control, Shockproof Case, Kids App for Toddler Boys Girls (Roser)",pc+case,https://www.amazon.comhttps://aax-us-iad.amazon.com/x/c/RDezjO8JLo3u-vXQlo_N_J8AAAGNYh566wEAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICDxJVF0/https://www.amazon.com/Learning-Toddlers-Educational-Childrens-Shockproof/dp/B0CN11KKK9/ref=sxin_13_sbv_search_btf?content-id=amzn1.sym.dd9d838b-6783-4821-8310-06c0d426ac6f%3Aamzn1.sym.dd9d838b-6783-4821-8310-06c0d426ac6f&crid=3TXP1EHXO96V1&cv_ct_cx=pc+case&keywords=pc+case&pd_rd_i=B0CN11KKK9&pd_rd_r=5efcfcaf-d5e5-41f1-811b-98004227e369&pd_rd_w=YhRDQ&pd_rd_wg=VLY6e&pf_rd_p=dd9d838b-6783-4821-8310-06c0d426ac6f&pf_rd_r=3H1P9PPS5RN5B6472JFY&qid=1706748181&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=graphics+car%2Caps%2C288&sr=1-1-5190daf0-67e3-427c-bea6-c72c1df98776&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,4,5.0 out of 5 stars,$49.99
"Kids Tablet 7IN Toddler Tablet for Kids Learning, 32GB Android Tablet for Toddlers Educational, Children's Tablet with WiFi Parental Control, Shockproof Case, Kids App for Toddler Boys Girls (Roser)",pc+case,https://www.amazon.comhttps://aax-us-iad.amazon.com/x/c/RDezjO8JLo3u-vXQlo_N_J8AAAGNYh566wEAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICDxJVF0/https://www.amazon.com/Learning-Toddlers-Educational-Childrens-Shockproof/dp/B0CN11KKK9/ref=sxin_13_sbv_search_btf?content-id=amzn1.sym.dd9d838b-6783-4821-8310-06c0d426ac6f%3Aamzn1.sym.dd9d838b-6783-4821-8310-06c0d426ac6f&crid=3TXP1EHXO96V1&cv_ct_cx=pc+case&keywords=pc+case&pd_rd_i=B0CN11KKK9&pd_rd_r=5efcfcaf-d5e5-41f1-811b-98004227e369&pd_rd_w=YhRDQ&pd_rd_wg=VLY6e&pf_rd_p=dd9d838b-6783-4821-8310-06c0d426ac6f&pf_rd_r=3H1P9PPS5RN5B6472JFY&qid=1706748181&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=graphics+car%2Caps%2C288&sr=1-1-5190daf0-67e3-427c-bea6-c72c1df98776&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,4,5.0 out of 5 stars,$49.99
"ATX Mid Tower Gaming Computer PC Case with Side Tempered Glass, 4X 120mm ARGB Case Fans and Sync with 5V RGB Motherboard",pc+case,https://www.amazon.com/ZEUS-GAMDIAS-Computer-Tempered-Motherboard/dp/B0BH49RC7T/ref=sr_1_6?crid=3TXP1EHXO96V1&keywords=pc+case&qid=1706748181&sprefix=graphics+car%2Caps%2C288&sr=8-6&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,194,4.3 out of 5 stars,$59.99
"Micro PC CASE Mini Tower Gaming PC Cases,USB 3.0 Tempered Glass Front and Side Panels White Computer Case (Fans are not Included) H08",pc+case,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NjYxODMwMTU4MzIxMDMxOjE3MDY3NDgxODE6c3BfbXRmOjMwMDEyNTIxNzM1MzAwMjo6MDo6&url=%2FAMANSON-Gaming-Tempered-Computer-Included%2Fdp%2FB0C7GT314P%2Fref%3Dsr_1_7_sspa%3Fcrid%3D3TXP1EHXO96V1%26keywords%3Dpc%2Bcase%26qid%3D1706748181%26sprefix%3Dgraphics%2Bcar%252Caps%252C288%26sr%3D8-7-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,6,4.2 out of 5 stars,$79.99
